cbr_name,jurisdiction_comunas,url,online,fea_pdf,price_dominio_vigente_clp,price_gp_clp,price_carpeta10_clp,plazo_gp_dias,notes,source_url,checked_date
CBR Santiago,"Cerrillos;Cerro Navia;Colina;Conchalí;Estación Central;Huechuraba;Independencia (legacy);La Florida (límite Diego Portales);La Reina;Lampa;Las Condes (legacy);Lo Barnechea;Lo Prado;Macul;Maipú;Ñuñoa;Peñalolén;Providencia;Pudahuel;Quilicura;Quinta Normal;Recoleta;Renca;Santiago;Til-Til;Vitacura",https://conservador.cl,yes,yes,4600,6600,13500,4,"Mayor volumen país. Página por producto con tarifas verbatim. $4.600 + $300/pág extra sobre 7 dom vig. GP +$2000 con litigios.",https://www.conservador.cl/portal/copia_dominio_vigente,2026-05-07
CBR Puente Alto,"Puente Alto;San José de Maipo",https://www.conservadorpuentealto.cl,yes,yes,unknown,unknown,unknown,unknown,"Pirque escindido. Loader Cloudflare-like impide scraping. Portal funcional sesión iniciada.",https://www.conservadorpuentealto.cl/,2026-05-07
CBR San Bernardo,"San Bernardo;Calera de Tango",unknown,partial,unknown,unknown,unknown,unknown,unknown,"URL oficial no verificada. Existe contacto vía conservadorchile.com.",https://conservadorchile.com/san-bernardo/,2026-05-07
CBR Buin,"Buin;Paine",https://www.cbrbuin.cl,yes,partial,unknown,unknown,unknown,unknown,"Sucursal Centro Cívico Paine. Tres registros + Comercio + Aguas.",https://www.cbrbuin.cl/,2026-05-07
CBR Talagante,"Talagante;Isla de Maipo;El Monte",https://www.cbrtalagante.cl,yes,yes,unknown,unknown,unknown,unknown,"Loader bloqueó scraping detalles arancel.",https://www.cbrtalagante.cl/,2026-05-07
CBR Peñaflor,"Peñaflor",https://conservadorpenaflor.cl,yes,unknown,unknown,unknown,unknown,unknown,"Sitio oficial activo, detalles requieren navegación con sesión.",https://conservadorpenaflor.cl/,2026-05-07
CBR Melipilla,"Melipilla;Curacaví;María Pinto;San Pedro;Alhué",unknown,partial,unknown,unknown,unknown,unknown,unknown,"URL oficial no verificada en fetch automatizado. Tier medio.",https://conservadorchile.com/melipilla/,2026-05-07
CBR Las Condes,"Las Condes",unknown,yes,yes,unknown,unknown,unknown,unknown,"Escisión operativa de CBR Santiago. URL oficial no verificada.",https://conservadorchile.com/las-condes/,2026-05-07
CBR Independencia,"Independencia",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Escisión reciente. Documentos pre-escisión están en CBR Santiago.",https://conservadorchile.com/independencia/,2026-05-07
CBR San Miguel,"San Miguel;La Cisterna;Lo Espejo;El Bosque;Pedro Aguirre Cerda;San Joaquín;San Ramón;La Granja;La Pintana",unknown,unknown,unknown,unknown,unknown,unknown,unknown,"URL oficial no verificada.",https://conservadorchile.com/san-miguel/,2026-05-07
