name,category,url,target_segment,features,price_clp,coverage_chile,integrations,limitations,maturity,founded_year,last_activity,gap_vs_propos,checked_date
Tusler,legaltech_inmobiliario,https://tusler.cl/,corredores+abogados_inmobiliarios,estudio titulos digital + gestion documental compraventa,no_publico,nacional_segun_CBR,manual_CBR,sin API publica + sin IA generativa explicita,operativo_bajo_perfil,desconocido,2024-2025,sin ingestion automatica PDF + sin pipeline IA doc extraction,2026-05-07
Conservadores Digitales,infra_publica_CBR,https://conservadoresdigitales.cl/,publico+abogados+notarios,emision certificados online + copias inscripciones + gravamenes + APIManager interno,variable_arancel_CBR,parcial_no_todos_CBRs_adheridos,APIManager_microservicios_Kubernetes integracion institucional,API no publica para terceros + cobertura CBR incompleta + UX tramite individual,produccion_desde_2017,2017,activo_2025_8mil_certs_dia,no es competidor es fuente PropOS debe integrarse via scraping o convenio,2026-05-07
Misabogados,legaltech_marketplace,https://www.misabogados.com/,PYMES+individuos,marketplace abogados + planes mensuales empresa + guias compraventa,planes_mensuales_no_publicos,nacional,plataforma_propia,no vertical inmobiliario + sin ingestion titulos + servicio via abogado humano,operativo_maduro,2014,activo_2025,no automatiza estudio titulo + sin OCR ni IA en flujo,2026-05-07
Legal Prisma,estudio_juridico_inmobiliario,https://www.legalprisma.cl/estudio-de-titulos-chile/,compradores+inversionistas,estudio titulos manual + revision 10 anios escrituras + informe juridico,no_publico_cotiza,nacional,ninguna_tech,servicio 100pct humano + sin plataforma + sin API,boutique_juridico,desconocido,2024-2025_blog,no tiene tech stack PropOS puede ser su proveedor,2026-05-07
Wolfenson,estudio_juridico_inmobiliario,https://www.wolfenson.cl/,empresas+individuos_alto_valor,asesoria inmobiliaria + redaccion contratos + litigio + estudio titulos,honorarios_altos_no_publicos,nacional,ninguna_tech_publica,sin plataforma digital + controversia publica 2025 socio Ariel Wolfenson,boutique_juridico,desconocido,2025_litigios_mediaticos,sin tech PropOS otro canal,2026-05-07
Ayala & Cia,estudio_juridico_inmobiliario,https://www.ayalaycia.cl/,individuos+sector_inmobiliario,estudio titulos + redaccion escrituras rectificatorias + compraventa,no_publico,Santiago_RM,solo_online,boutique pequeno + sin tech,operativo,desconocido,activo_2025,sin plataforma cliente potencial PropOS,2026-05-07
Schneider Abogados,estudio_juridico_inmobiliario,https://schneiderabogados.cl/,compradores+bancos,estudio titulos urbano+rural + DL 2695 + saneamiento + aguas,75000_urbano_Santiago_<500UF,nacional,videollamada+informe_digital,proceso manual + sin OCR + sin API,15+anios_experiencia,desconocido,activo_2025,proceso manual vs PropOS automatizado,2026-05-07
Vercetti Propiedades,corredor+legal,https://www.vercettipropiedades.cl/,clientes_corredor_propio,estudio titulos preventivo gratuito como gancho corretaje,incluido_en_corretaje,RM,manual,solo clientes propios + manual,corretaje_tradicional,desconocido,activo,modelo bundling no SaaS,2026-05-07
Abogaley,estudio_juridico_multipractice,https://www.abogaley.cl/,publico_general,estudio titulos + familia + laboral + civil + penal,consulta_inicial_gratis_honorarios_variables,20+ciudades,plataforma_online_leads,sin vertical puro inmobiliario + sin tech IA,maduro_30+anios,1990s,activo_2025,sin automatizacion doc + competidor canal leads,2026-05-07
Aguila & Cia,estudio_juridico_regional,https://www.aguilaycia.cl/,clientes_Puerto_Montt_Llanquihue,contratos + tierras + civil + tributario,no_publico,Region_Los_Lagos+CSantiago,ninguna,regional + sin tech,operativo_30+anios,1988,activo,sin tech mercado regional,2026-05-07
Firma Virtual,notaria_online+firma_electronica,https://firmavirtual.legal/,publico_general+empresas,firma electronica avanzada + tramites notariales online + FEA,por_tramite_no_publico,nacional,convenio_notarios+FEA_Ley_19799,no cubre compraventa inmuebles requiere escritura publica,operativo,desconocido,activo_2025_24x7,complementario no competidor PropOS puede integrar FEA,2026-05-07
FENECH,gremio_notarios_conservadores,no_sitio_publico_claro,notarios_conservadores,gremio sin producto SaaS,na,nacional,na,no es vendor tech,asociacion,desconocido,desconocido,no aplica contexto stakeholder,2026-05-07
Spektr,legaltech_IA_generalista,https://www.spektr.legal/,abogados+empresas_Chile_Argentina,IA multi-agente + analisis docs + redaccion + jurisprudencia + 50+areas_derecho,no_publico_suscripcion,Chile+Argentina_2025,convenio_PUC_Derecho,horizontal no vertical inmobiliario + sin pipeline CBR,2_anios_mercado,2023,activo_2025,no conoce cadena titulos CL PropOS puede licenciar LLM pero no flujo,2026-05-07
Leyer,legaltech_IA_research,https://leyer.cl/,abogados_PYME+grandes_firmas,IA research juridica + jurisprudencia + due_diligence + contratos,no_publico,Chile,fuentes_verificables_leyes_fallos,research only no doc generation pipeline,early_mid,2024,activo_2025,sin vertical real estate + research no ingestion,2026-05-07
Lexius,legaltech_IA_juridica,https://lexius.io/cl/,abogados_individuales+firmas,IA chat+voz + 278K+leyes + 4.8M+sentencias + podcast legal + redaccion,9499_mensual_22999_trim_56899_anual,Chile_LATAM,planes_corporativos,horizontal no real estate + orientado litigio research,maduro_LATAM,desconocido,activo_2026,sin pipeline CBR ni extraccion PDF titulos,2026-05-07
Justiciano (MiChatLegal),legaltech_IA_PYME,https://michatlegal.cl/,PYMES_Chile,redaccion contratos guiada + consultas legales + analisis docs,no_publico,Chile,ninguna_publica,horizontal PYMEs no corredores,early,2024,activo_2025,sin vertical inmobiliario,2026-05-07
Tirant Sof-IA / SOFIA 3.0,legaltech_IA_editorial,https://prime.tirant.com/cl/,abogados+firmas,IA generativa multi-doc + redaccion + jurisprudencia + doctrina Tirant,suscripcion_Tirant_Prime_no_publico,Chile_Espana_Mexico_Colombia_Peru_CR,Tirant_Prime,horizontal contenido editorial Espana base,maduro_internacional,2024_Sof-IA_2026_SOFIA_3.0,activo_feb_2026,sin conocimiento CBR CL vertical,2026-05-07
LemonTech,legaltech_gestion_firmas,https://www.lemontech.com/,firmas_juridicas_LATAM,gestion firma + rentabilidad + juicios masivos + ISO27001 + Chambers Band-1,no_publico_enterprise,LATAM_13paises,API_propia,no IA redaccion fuerte + practice mgmt no doc pipeline,maduro_15+anios_1300+firmas,2009_aprox,activo_2026,gestion no estudio titulo complementario,2026-05-07
Techlex,legaltech_cobranza,https://techlex.cl/,acreedores+bancos+empresas,cobranza judicial automatizada + bots + ML + CRM propio,enterprise_no_publico,Chile+Peru+Espana,plataforma_propia_bots,vertical cobranza no real estate,maduro,2014_2023_rebrand_Techlex,activo_2025,sin overlap real estate,2026-05-07
Magnar,legaltech_IA_Chile,https://www.magnar.ai/cl,abogados+firmas_LATAM,IA entrenada Chile-leyes-CS-CMF-SII + analisis casos + jurisprudencia,no_publico_15K_usuarios,Chile+Peru+Colombia,Carey_inversor_USD500K_2026_ene,horizontal no vertical inmobiliario,early_traccion_rapida,2025-08,2026-01_Carey_invierte,sin pipeline titulos PropOS puede licenciar LLM,2026-05-07
Total Abogados,legaltech_marketplace,https://totalabogados.cl/,individuos+PYME,servicios legales digitales + cuotas + descuento red 20pct + multipractice,servicios_modulares_no_publico,Chile,plataforma_propia,marketplace humano + sin doc pipeline,maduro,desconocido,activo_2025,no tech real estate vertical,2026-05-07
Dataprop,proptech_CRM,https://dataprop.cl/,corredores+agencias_inmobiliarias,CRM + multipublicacion portales + red canje 3K+propiedades + analisis precios + API custom,planes_no_publicos_mensual+anual_17pct_desc,nacional,API_clientes_empresariales+portales,no cubre due diligence legal ni titulos,maduro_500+brokers,desconocido,activo_2026,sin vertical legal complementario PropOS podria integrarse,2026-05-07
KiteProp,proptech_CRM,https://www.kiteprop.com/cl,corredores_Chile_Argentina,CRM ventas + embudos + multipublicacion + trial 15dias,UF_mensual_Single+Basic+Office,Chile+Argentina_Rosario,portales_inmobiliarios,sin legal ni titulos,maduro_20anios_experiencia_fundadores,desconocido,activo_2026,no cubre estudio titulo,2026-05-07
ICONCRETA,proptech_CRM_enterprise,https://iconcreta.com/,inmobiliarias_medianas_grandes,CRM Microsoft-Dynamics365 + contratos + bodegas + activos + IA-abogados,enterprise_no_publico,Chile,Microsoft_Dynamics_365,enterprise only + legacy MS stack + modulo IA abogados vago,maduro_20+anios,2000s,activo_2026,modulo legal superficial no vertical titulos,2026-05-07
TocToc,proptech_data_valoracion,https://www.toctoc.com/,corredores+inmobiliarias+bancos,tasador online + reportes propiedad + valor comercial+arriendo + APIs B2B,API_empresarial_cotiza+freemium_publica,continental_Chile_areas_mercado_activo,APIs_DB_real_time,sin cobertura legal ni titulos,maduro_lider_mercado_data,desconocido,activo_2026,solo data valoracion complementario PropOS integra via API,2026-05-07
Portal Inmobiliario,proptech_marketplace,https://www.portalinmobiliario.com/,corredores+publicacion_listados,#1 portal Chile + integrado MercadoLibre + listados venta+arriendo,publicacion_paga_segun_plan,nacional,ML_ecosystem,solo publicacion listados sin due diligence,maduro_lider,desconocido,activo_2026,no cubre titulos data listings source,2026-05-07
Yapo,proptech_marketplace,https://www.yapo.cl/bienes-raices,publico_general+corredores,clasificados gratis + 148K+avisos + salon inmobiliario anual,gratis_listing,nacional,ninguna_tech_relevante_titulos,solo clasificados sin tech due diligence,maduro,2010s,activo_2026,no overlap funcional PropOS,2026-05-07
PropTech Chile (gremio),asociacion_gremial,http://proptechchile.cl/,startups+inmobiliarias+constructoras,directorio 90-120+empresas + lobby regulatorio + networking,cuota_socio,nacional,na,no es producto contexto,gremio,2021-2022,activo_2026,no aplica fuente de mapeo,2026-05-07
